,CH1,CH2,CH3
Second,Volt,Volt,Volt
-4.45120e-05,-2.00e-01,2.00e-01,-1.40e-02, 
-4.44720e-05,-2.00e-01,2.00e-01,0.00e+00, 
-4.44320e-05,-2.00e-01,2.00e-01,-6.00e-03, 
-4.43920e-05,-2.00e-01,2.00e-01,0.00e+00, 
-4.43520e-05,-2.00e-01,2.00e-01,0.00e+00, 
-4.43120e-05,-2.00e-01,2.00e-01,-4.00e-03, 
-4.42720e-05,-2.00e-01,2.00e-01,-2.00e-03, 
-4.42320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.41920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.41520e-05,-2.00e-01,2.00e-01,0.00e+00, 
-4.41120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.40720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.40320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.39920e-05,-2.00e-01,0.00e+00,4.00e-03, 
-4.39520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.39120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.38720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.38320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.37920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.37520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.37120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.36720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.36320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.35920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.35520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.35120e-05,-2.00e-01,4.00e-01,2.00e-03, 
-4.34720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.34320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.33920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.33520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.33120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.32720e-05,-2.00e-01,4.00e-01,2.00e-03, 
-4.32320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.31920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.31520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.31120e-05,-4.00e-01,4.00e-01,2.00e-03, 
-4.30720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.30320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.29920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.29520e-05,-2.00e-01,4.00e-01,6.00e-03, 
-4.29120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.28720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.28320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.27920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.27520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.27120e-05,-2.00e-01,2.00e-01,6.00e-03, 
-4.26720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.26320e-05,-2.00e-01,2.00e-01,6.00e-03, 
-4.25920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.25520e-05,-2.00e-01,4.00e-01,2.00e-03, 
-4.25120e-05,-2.00e-01,4.00e-01,6.00e-03, 
-4.24720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.24320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.23920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.23520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.23120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.22720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.22320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.21920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.21520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.21120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.20720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.20320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.19920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.19520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.19120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.18720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.18320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.17920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.17520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.17120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.16720e-05,-2.00e-01,4.00e-01,2.00e-03, 
-4.16320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.15920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.15520e-05,-2.00e-01,4.00e-01,6.00e-03, 
-4.15120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.14720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.14320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.13920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.13520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.13120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.12720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.12320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.11920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.11520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.11120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.10720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.10320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.09920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.09520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.09120e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.08720e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.08320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.07920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.07520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.07120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.06720e-05,-2.00e-01,4.00e-01,2.00e-03, 
-4.06320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.05920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.05520e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.05120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.04720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.04320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-4.03920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-4.03520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-4.03120e-05,-2.00e-01,4.00e-01,2.00e-03, 
-4.02720e-05,-2.00e-01,2.00e-01,-2.00e-03, 
-4.02320e-05,0.00e+00,1.20e+00,2.20e-02, 
-4.01920e-05,2.00e-01,1.60e+00,2.00e-02, 
-4.01520e-05,3.60e+00,8.20e+00,8.60e-02, 
-4.01120e-05,7.80e+00,8.80e+00,8.80e-02, 
-4.00720e-05,3.60e+00,1.14e+01,2.78e-01, 
-4.00320e-05,5.00e+00,1.16e+01,2.20e-01, 
-3.99920e-05,6.00e+00,1.24e+01,1.24e-01, 
-3.99520e-05,6.20e+00,1.24e+01,1.34e-01, 
-3.99120e-05,7.60e+00,1.34e+01,9.00e-02, 
-3.98720e-05,7.80e+00,1.36e+01,9.80e-02, 
-3.98320e-05,9.60e+00,1.44e+01,4.40e-02, 
-3.97920e-05,9.80e+00,1.44e+01,6.80e-02, 
-3.97520e-05,1.14e+01,1.48e+01,2.60e-02, 
-3.97120e-05,1.14e+01,1.50e+01,2.60e-02, 
-3.96720e-05,1.24e+01,1.52e+01,8.00e-03, 
-3.96320e-05,1.26e+01,1.50e+01,1.00e-02, 
-3.95920e-05,1.32e+01,1.52e+01,-2.00e-03, 
-3.95520e-05,1.32e+01,1.50e+01,6.00e-03, 
-3.95120e-05,1.38e+01,1.52e+01,-2.00e-03, 
-3.94720e-05,1.38e+01,1.52e+01,0.00e+00, 
-3.94320e-05,1.40e+01,1.50e+01,6.00e-03, 
-3.93920e-05,1.40e+01,1.50e+01,2.00e-03, 
-3.93520e-05,1.42e+01,1.52e+01,8.00e-03, 
-3.93120e-05,1.42e+01,1.52e+01,8.00e-03, 
-3.92720e-05,1.44e+01,1.50e+01,1.00e-02, 
-3.92320e-05,1.44e+01,1.52e+01,1.20e-02, 
-3.91920e-05,1.46e+01,1.50e+01,1.60e-02, 
-3.91520e-05,1.46e+01,1.52e+01,1.40e-02, 
-3.91120e-05,1.46e+01,1.50e+01,1.80e-02, 
-3.90720e-05,1.48e+01,1.52e+01,1.80e-02, 
-3.90320e-05,1.46e+01,1.52e+01,2.00e-02, 
-3.89920e-05,1.46e+01,1.52e+01,2.20e-02, 
-3.89520e-05,1.48e+01,1.52e+01,2.00e-02, 
-3.89120e-05,1.48e+01,1.52e+01,2.20e-02, 
-3.88720e-05,1.46e+01,1.52e+01,2.40e-02, 
-3.88320e-05,1.48e+01,1.52e+01,2.40e-02, 
-3.87920e-05,1.46e+01,1.50e+01,2.40e-02, 
-3.87520e-05,1.48e+01,1.52e+01,2.40e-02, 
-3.87120e-05,1.48e+01,1.52e+01,2.60e-02, 
-3.86720e-05,1.48e+01,1.52e+01,2.60e-02, 
-3.86320e-05,1.48e+01,1.52e+01,2.60e-02, 
-3.85920e-05,1.48e+01,1.52e+01,2.80e-02, 
-3.85520e-05,1.48e+01,1.52e+01,2.60e-02, 
-3.85120e-05,1.48e+01,1.50e+01,2.80e-02, 
-3.84720e-05,1.48e+01,1.52e+01,2.60e-02, 
-3.84320e-05,1.48e+01,1.52e+01,2.80e-02, 
-3.83920e-05,1.48e+01,1.50e+01,3.00e-02, 
-3.83520e-05,1.48e+01,1.52e+01,2.80e-02, 
-3.83120e-05,1.48e+01,1.50e+01,3.00e-02, 
-3.82720e-05,1.46e+01,1.52e+01,3.00e-02, 
-3.82320e-05,1.48e+01,1.50e+01,2.80e-02, 
-3.81920e-05,1.48e+01,1.52e+01,3.00e-02, 
-3.81520e-05,1.48e+01,1.52e+01,3.00e-02, 
-3.81120e-05,1.48e+01,1.52e+01,3.00e-02, 
-3.80720e-05,1.48e+01,1.50e+01,3.20e-02, 
-3.80320e-05,1.48e+01,1.52e+01,3.00e-02, 
-3.79920e-05,1.46e+01,1.50e+01,3.20e-02, 
-3.79520e-05,1.48e+01,1.52e+01,3.00e-02, 
-3.79120e-05,1.48e+01,1.50e+01,3.20e-02, 
-3.78720e-05,1.48e+01,1.52e+01,3.20e-02, 
-3.78320e-05,1.48e+01,1.50e+01,3.20e-02, 
-3.77920e-05,1.48e+01,1.52e+01,3.20e-02, 
-3.77520e-05,1.48e+01,1.52e+01,3.20e-02, 
-3.77120e-05,1.48e+01,1.52e+01,3.20e-02, 
-3.76720e-05,1.48e+01,1.50e+01,3.40e-02, 
-3.76320e-05,1.48e+01,1.50e+01,3.20e-02, 
-3.75920e-05,1.48e+01,1.52e+01,3.40e-02, 
-3.75520e-05,1.48e+01,1.52e+01,3.40e-02, 
-3.75120e-05,1.46e+01,1.50e+01,3.20e-02, 
-3.74720e-05,1.48e+01,1.52e+01,3.20e-02, 
-3.74320e-05,1.48e+01,1.50e+01,3.40e-02, 
-3.73920e-05,1.48e+01,1.52e+01,3.40e-02, 
-3.73520e-05,1.46e+01,1.50e+01,3.20e-02, 
-3.73120e-05,1.48e+01,1.50e+01,3.20e-02, 
-3.72720e-05,1.46e+01,1.52e+01,3.40e-02, 
-3.72320e-05,1.48e+01,1.52e+01,3.20e-02, 
-3.71920e-05,1.46e+01,1.50e+01,3.40e-02, 
-3.71520e-05,1.46e+01,1.52e+01,3.40e-02, 
-3.71120e-05,1.48e+01,1.50e+01,3.40e-02, 
-3.70720e-05,1.48e+01,1.52e+01,3.40e-02, 
-3.70320e-05,1.48e+01,1.50e+01,3.20e-02, 
-3.69920e-05,1.48e+01,1.50e+01,3.40e-02, 
-3.69520e-05,1.46e+01,1.52e+01,3.40e-02, 
-3.69120e-05,1.48e+01,1.52e+01,3.40e-02, 
-3.68720e-05,1.46e+01,1.50e+01,3.60e-02, 
-3.68320e-05,1.48e+01,1.50e+01,3.40e-02, 
-3.67920e-05,1.46e+01,1.52e+01,3.60e-02, 
-3.67520e-05,1.46e+01,1.52e+01,3.40e-02, 
-3.67120e-05,1.48e+01,1.50e+01,3.60e-02, 
-3.66720e-05,1.48e+01,1.52e+01,3.60e-02, 
-3.66320e-05,1.48e+01,1.50e+01,3.40e-02, 
-3.65920e-05,1.46e+01,1.50e+01,3.60e-02, 
-3.65520e-05,1.48e+01,1.52e+01,3.40e-02, 
-3.65120e-05,1.48e+01,1.50e+01,3.40e-02, 
-3.64720e-05,1.46e+01,1.52e+01,3.60e-02, 
-3.64320e-05,1.48e+01,1.50e+01,3.60e-02, 
-3.63920e-05,1.48e+01,1.52e+01,3.60e-02, 
-3.63520e-05,1.48e+01,1.50e+01,3.60e-02, 
-3.63120e-05,1.46e+01,1.52e+01,3.80e-02, 
-3.62720e-05,1.48e+01,1.52e+01,3.60e-02, 
-3.62320e-05,1.46e+01,1.50e+01,3.60e-02, 
-3.61920e-05,1.48e+01,1.52e+01,3.80e-02, 
-3.61520e-05,1.46e+01,1.50e+01,3.60e-02, 
-3.61120e-05,1.48e+01,1.50e+01,3.60e-02, 
-3.60720e-05,1.48e+01,1.52e+01,3.80e-02, 
-3.60320e-05,1.48e+01,1.52e+01,3.80e-02, 
-3.59920e-05,1.48e+01,1.50e+01,3.60e-02, 
-3.59520e-05,1.48e+01,1.52e+01,3.60e-02, 
-3.59120e-05,1.46e+01,1.50e+01,3.80e-02, 
-3.58720e-05,1.48e+01,1.52e+01,3.60e-02, 
-3.58320e-05,1.46e+01,1.50e+01,3.80e-02, 
-3.57920e-05,1.48e+01,1.52e+01,3.60e-02, 
-3.57520e-05,1.46e+01,1.50e+01,3.80e-02, 
-3.57120e-05,1.48e+01,1.50e+01,3.80e-02, 
-3.56720e-05,1.46e+01,1.52e+01,3.80e-02, 
-3.56320e-05,1.48e+01,1.50e+01,3.80e-02, 
-3.55920e-05,1.46e+01,1.52e+01,3.60e-02, 
-3.55520e-05,1.46e+01,1.52e+01,3.80e-02, 
-3.55120e-05,1.48e+01,1.50e+01,3.60e-02, 
-3.54720e-05,1.48e+01,1.52e+01,3.80e-02, 
-3.54320e-05,1.46e+01,1.50e+01,4.00e-02, 
-3.53920e-05,1.48e+01,1.52e+01,3.80e-02, 
-3.53520e-05,1.46e+01,1.50e+01,4.00e-02, 
-3.53120e-05,1.48e+01,1.52e+01,4.00e-02, 
-3.52720e-05,1.18e+01,7.20e+00,-6.00e-02, 
-3.52320e-05,1.18e+01,3.20e+00,9.80e-02, 
-3.51920e-05,9.40e+00,6.00e-01,-1.18e-01, 
-3.51520e-05,9.20e+00,6.00e-01,-1.10e-01, 
-3.51120e-05,6.40e+00,2.00e-01,-3.40e-02, 
-3.50720e-05,6.20e+00,4.00e-01,-4.00e-02, 
-3.50320e-05,4.20e+00,2.00e-01,4.00e-02, 
-3.49920e-05,4.20e+00,2.00e-01,7.00e-02, 
-3.49520e-05,3.40e+00,4.00e-01,-1.20e-02, 
-3.49120e-05,3.40e+00,0.00e+00,-4.20e-02, 
-3.48720e-05,3.60e+00,6.00e-01,9.80e-02, 
-3.48320e-05,3.60e+00,8.00e-01,-5.40e-02, 
-3.47920e-05,2.00e+00,-4.00e-01,1.58e-01, 
-3.47520e-05,1.80e+00,1.00e+00,1.70e-01, 
-3.47120e-05,2.00e-01,-8.00e-01,-5.20e-02, 
-3.46720e-05,4.00e-01,0.00e+00,-6.80e-02, 
-3.46320e-05,0.00e+00,4.00e-01,8.60e-02, 
-3.45920e-05,0.00e+00,4.00e-01,1.60e-02, 
-3.45520e-05,-2.00e-01,2.00e-01,-3.40e-02, 
-3.45120e-05,-2.00e-01,2.00e-01,-1.60e-02, 
-3.44720e-05,-2.00e-01,0.00e+00,2.00e-03, 
-3.44320e-05,-2.00e-01,2.00e-01,-1.00e-02, 
-3.43920e-05,-2.00e-01,0.00e+00,0.00e+00, 
-3.43520e-05,-2.00e-01,2.00e-01,-4.00e-03, 
-3.43120e-05,-2.00e-01,2.00e-01,0.00e+00, 
-3.42720e-05,-2.00e-01,2.00e-01,0.00e+00, 
-3.42320e-05,-2.00e-01,0.00e+00,2.00e-03, 
-3.41920e-05,-2.00e-01,2.00e-01,0.00e+00, 
-3.41520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.41120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.40720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.40320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.39920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.39520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.39120e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.38720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.38320e-05,-4.00e-01,2.00e-01,2.00e-03, 
-3.37920e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.37520e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.37120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.36720e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.36320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.35920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.35520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.35120e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.34720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.34320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.33920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.33520e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.33120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.32720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.32320e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.31920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.31520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.31120e-05,-4.00e-01,4.00e-01,2.00e-03, 
-3.30720e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.30320e-05,-2.00e-01,4.00e-01,2.00e-03, 
-3.29920e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.29520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.29120e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.28720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.28320e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.27920e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.27520e-05,-2.00e-01,2.00e-01,4.00e-03, 
-3.27120e-05,-2.00e-01,4.00e-01,6.00e-03, 
-3.26720e-05,-2.00e-01,4.00e-01,4.00e-03, 
-3.26320e-05,-2.00e-01,2.00e-01,2.00e-03, 
-3.25920e-05,-2.00e-01,4.00e-01,4.00e-03, 
