,CH1,CH2
1.10000e-02,3.20e+00,-1.60e-03, 
1.10400e-02,2.80e+00,-8.80e-03, 
1.10800e-02,3.60e+00,8.00e-04, 
1.11200e-02,3.60e+00,-8.00e-03, 
1.11600e-02,3.60e+00,-1.60e-03, 
1.12000e-02,3.60e+00,-6.40e-03, 
1.12400e-02,3.60e+00,0.00e+00, 
1.12800e-02,3.60e+00,-8.00e-03, 
1.13200e-02,3.60e+00,-8.00e-04, 
1.13600e-02,3.60e+00,-2.40e-03, 
1.14000e-02,2.40e+00,-7.20e-03, 
1.14400e-02,2.80e+00,0.00e+00, 
1.14800e-02,2.40e+00,-8.80e-03, 
1.15200e-02,2.80e+00,-6.40e-03, 
1.15600e-02,2.40e+00,0.00e+00, 
1.16000e-02,2.80e+00,-1.60e-03, 
1.16400e-02,2.40e+00,-8.80e-03, 
1.16800e-02,2.80e+00,-5.60e-03, 
1.17200e-02,2.40e+00,-1.60e-03, 
1.17600e-02,2.00e+00,-1.04e-02, 
1.18000e-02,2.80e+00,-2.40e-03, 
1.18400e-02,2.80e+00,-7.20e-03, 
1.18800e-02,2.00e+00,-8.00e-04, 
1.19200e-02,2.40e+00,-5.60e-03, 
1.19600e-02,2.00e+00,8.00e-04, 
1.20000e-02,2.00e+00,3.20e-03, 
1.20400e-02,2.00e+00,-6.40e-03, 
1.20800e-02,1.60e+00,-4.80e-03, 
1.21200e-02,2.00e+00,1.60e-03, 
1.21600e-02,1.20e+00,-7.20e-03, 
1.22000e-02,1.60e+00,8.00e-04, 
1.22400e-02,1.60e+00,-5.60e-03, 
1.22800e-02,8.00e-01,2.40e-03, 
1.23200e-02,8.00e-01,8.00e-04, 
1.23600e-02,4.00e-01,-4.80e-03, 
1.24000e-02,8.00e-01,-7.20e-03, 
1.24400e-02,4.00e-01,8.00e-04, 
1.24800e-02,0.00e+00,8.00e-04, 
1.25200e-02,4.00e-01,-8.00e-03, 
1.25600e-02,0.00e+00,-4.80e-03, 
1.26000e-02,-4.00e-01,8.00e-04, 
1.26400e-02,-4.00e-01,-8.00e-03, 
1.26800e-02,-8.00e-01,1.60e-03, 
1.27200e-02,-8.00e-01,-5.60e-03, 
1.27600e-02,-8.00e-01,1.60e-03, 
1.28000e-02,-8.00e-01,2.40e-03, 
1.28400e-02,-1.60e+00,-5.60e-03, 
1.28800e-02,-1.20e+00,-8.00e-03, 
1.29200e-02,-1.60e+00,3.20e-03, 
1.29600e-02,-1.60e+00,-5.60e-03, 
1.30000e-02,-2.00e+00,-8.00e-04, 
1.30400e-02,-2.00e+00,8.00e-04, 
1.30800e-02,-2.00e+00,-7.20e-03, 
1.31200e-02,-2.00e+00,0.00e+00, 
1.31600e-02,-2.40e+00,-7.20e-03, 
1.32000e-02,-2.00e+00,-2.40e-03, 
1.32400e-02,-2.00e+00,-7.20e-03, 
1.32800e-02,-2.00e+00,0.00e+00, 
1.33200e-02,-2.40e+00,-8.00e-03, 
1.33600e-02,-2.00e+00,0.00e+00, 
1.34000e-02,-2.40e+00,-8.00e-03, 
1.34400e-02,-2.00e+00,-2.40e-03, 
1.34800e-02,-2.40e+00,-7.20e-03, 
1.35200e-02,-2.40e+00,-8.00e-03, 
1.35600e-02,-1.60e+00,-1.60e-03, 
1.36000e-02,-2.00e+00,1.60e-03, 
1.36400e-02,-2.00e+00,-7.20e-03, 
1.36800e-02,-2.00e+00,1.60e-03, 
1.37200e-02,-8.00e-01,-8.00e-03, 
1.37600e-02,-8.00e-01,-2.40e-03, 
1.38000e-02,-4.00e-01,-8.00e-03, 
1.38400e-02,-8.00e-01,0.00e+00, 
1.38800e-02,-4.00e-01,-7.20e-03, 
1.39200e-02,-4.00e-01,-6.40e-03, 
1.39600e-02,-8.00e-01,-8.00e-04, 
1.40000e-02,-8.00e-01,-8.00e-04, 
1.40400e-02,0.00e+00,-5.60e-03, 
1.40800e-02,0.00e+00,-8.00e-03, 
1.41200e-02,-4.00e-01,1.60e-03, 
1.41600e-02,-4.00e-01,-8.00e-03, 
1.42000e-02,4.00e-01,-4.80e-03, 
1.42400e-02,0.00e+00,-8.00e-04, 
1.42800e-02,4.00e-01,-8.00e-03, 
1.43200e-02,4.00e-01,-7.20e-03, 
1.43600e-02,0.00e+00,-2.40e-03, 
1.44000e-02,8.00e-01,1.60e-03, 
1.44400e-02,-4.00e-01,-8.00e-03, 
1.44800e-02,4.00e-01,-9.60e-03, 
1.45200e-02,-4.00e-01,0.00e+00, 
1.45600e-02,4.00e-01,-1.60e-03, 
1.46000e-02,-8.00e-01,-8.00e-03, 
1.46400e-02,0.00e+00,-8.00e-03, 
1.46800e-02,-8.00e-01,-2.40e-03, 
1.47200e-02,4.00e-01,-7.20e-03, 
1.47600e-02,-4.00e-01,-1.60e-03, 
1.48000e-02,4.00e-01,-2.40e-03, 
1.48400e-02,-4.00e-01,-7.20e-03, 
1.48800e-02,0.00e+00,-1.12e-02, 
1.49200e-02,4.00e-01,-8.00e-04, 
1.49600e-02,0.00e+00,-1.04e-02, 
1.50000e-02,8.00e-01,0.00e+00, 
1.50400e-02,8.00e-01,2.40e-03, 
1.50800e-02,4.00e-01,-8.00e-03, 
1.51200e-02,4.00e-01,-5.60e-03, 
1.51600e-02,8.00e-01,8.00e-04, 
1.52000e-02,8.00e-01,-2.40e-03, 
1.52400e-02,4.00e-01,-9.60e-03, 
1.52800e-02,4.00e-01,-9.60e-03, 
1.53200e-02,8.00e-01,-2.40e-03, 
1.53600e-02,8.00e-01,-5.60e-03, 
1.54000e-02,4.00e-01,8.00e-04, 
1.54400e-02,8.00e-01,-5.60e-03, 
1.54800e-02,8.00e-01,-1.60e-03, 
1.55200e-02,8.00e-01,-6.40e-03, 
1.55600e-02,8.00e-01,-8.00e-04, 
1.56000e-02,8.00e-01,-8.00e-04, 
1.56400e-02,8.00e-01,-6.40e-03, 
1.56800e-02,8.00e-01,8.00e-04, 
1.57200e-02,4.00e-01,-6.40e-03, 
1.57600e-02,8.00e-01,-1.04e-02, 
1.58000e-02,1.20e+00,-4.80e-03, 
1.58400e-02,8.00e-01,-1.12e-02, 
1.58800e-02,8.00e-01,0.00e+00, 
1.59200e-02,8.00e-01,-1.04e-02, 
1.59600e-02,4.00e-01,8.00e-04, 
1.60000e-02,8.00e-01,8.00e-04, 
1.60400e-02,8.00e-01,-8.00e-03, 
1.60800e-02,8.00e-01,2.40e-03, 
1.61200e-02,4.00e-01,-1.12e-02, 
1.61600e-02,8.00e-01,-5.60e-03, 
1.62000e-02,4.00e-01,1.60e-03, 
1.62400e-02,4.00e-01,-8.00e-03, 
1.62800e-02,8.00e-01,-1.60e-03, 
1.63200e-02,8.00e-01,-6.40e-03, 
1.63600e-02,0.00e+00,1.60e-03, 
1.64000e-02,0.00e+00,-7.20e-03, 
1.64400e-02,4.00e-01,-1.60e-03, 
1.64800e-02,4.00e-01,0.00e+00, 
1.65200e-02,0.00e+00,-5.60e-03, 
1.65600e-02,-4.00e-01,8.00e-04, 
1.66000e-02,4.00e-01,-7.20e-03, 
1.66400e-02,-4.00e-01,-8.00e-03, 
1.66800e-02,4.00e-01,-1.60e-03, 
1.67200e-02,-4.00e-01,8.00e-04, 
1.67600e-02,0.00e+00,-7.20e-03, 
1.68000e-02,-4.00e-01,2.40e-03, 
1.68400e-02,0.00e+00,-5.60e-03, 
1.68800e-02,-4.00e-01,1.60e-03, 
1.69200e-02,-8.00e-01,-8.00e-03, 
1.69600e-02,-4.00e-01,3.20e-03, 
1.70000e-02,-8.00e-01,-5.60e-03, 
1.70400e-02,-4.00e-01,-6.40e-03, 
1.70800e-02,-8.00e-01,3.20e-03, 
1.71200e-02,-8.00e-01,-1.60e-03, 
1.71600e-02,-4.00e-01,-8.80e-03, 
1.72000e-02,-8.00e-01,1.60e-03, 
1.72400e-02,-8.00e-01,-9.60e-03, 
1.72800e-02,-8.00e-01,-5.60e-03, 
1.73200e-02,-8.00e-01,8.00e-04, 
1.73600e-02,-8.00e-01,0.00e+00, 
1.74000e-02,-8.00e-01,-8.80e-03, 
1.74400e-02,-8.00e-01,-5.60e-03, 
1.74800e-02,-8.00e-01,5.60e-03, 
1.75200e-02,-8.00e-01,-6.40e-03, 
1.75600e-02,-8.00e-01,0.00e+00, 
1.76000e-02,-8.00e-01,-5.60e-03, 
1.76400e-02,-8.00e-01,0.00e+00, 
1.76800e-02,-8.00e-01,-5.60e-03, 
1.77200e-02,-8.00e-01,-8.00e-04, 
1.77600e-02,-8.00e-01,0.00e+00, 
1.78000e-02,-8.00e-01,-5.60e-03, 
1.78400e-02,-8.00e-01,-5.60e-03, 
1.78800e-02,-4.00e-01,-8.00e-03, 
1.79200e-02,-8.00e-01,-5.60e-03, 
1.79600e-02,-8.00e-01,8.00e-04, 
1.80000e-02,-4.00e-01,1.60e-03, 
1.80400e-02,-8.00e-01,-9.60e-03, 
1.80800e-02,-8.00e-01,-7.20e-03, 
1.81200e-02,-4.00e-01,-2.40e-03, 
1.81600e-02,-4.00e-01,-5.60e-03, 
1.82000e-02,-8.00e-01,3.20e-03, 
1.82400e-02,0.00e+00,8.00e-04, 
1.82800e-02,-4.00e-01,-8.80e-03, 
1.83200e-02,-4.00e-01,8.00e-04, 
1.83600e-02,4.00e-01,-8.00e-03, 
1.84000e-02,0.00e+00,-7.20e-03, 
1.84400e-02,-4.00e-01,1.60e-03, 
1.84800e-02,0.00e+00,-8.00e-03, 
1.85200e-02,-4.00e-01,-8.00e-04, 
1.85600e-02,0.00e+00,8.00e-04, 
1.86000e-02,8.00e-01,-8.00e-03, 
1.86400e-02,0.00e+00,-1.04e-02, 
1.86800e-02,4.00e-01,1.60e-03, 
1.87200e-02,4.00e-01,8.00e-04, 
1.87600e-02,0.00e+00,-7.20e-03, 
1.88000e-02,0.00e+00,-8.00e-03, 
1.88400e-02,8.00e-01,-8.00e-04, 
1.88800e-02,0.00e+00,8.00e-04, 
1.89200e-02,8.00e-01,-8.00e-03, 
1.89600e-02,0.00e+00,2.40e-03, 
1.90000e-02,4.00e-01,-8.80e-03, 
1.90400e-02,0.00e+00,-7.20e-03, 
1.90800e-02,8.00e-01,2.40e-03, 
1.91200e-02,4.00e-01,-8.00e-03, 
1.91600e-02,8.00e-01,3.20e-03, 
1.92000e-02,4.00e-01,-8.00e-03, 
1.92400e-02,8.00e-01,5.60e-03, 
1.92800e-02,4.00e-01,-8.00e-03, 
1.93200e-02,8.00e-01,8.00e-04, 
1.93600e-02,8.00e-01,-1.60e-03, 
1.94000e-02,4.00e-01,-8.00e-03, 
1.94400e-02,4.00e-01,1.60e-03, 
1.94800e-02,8.00e-01,-1.12e-02, 
1.95200e-02,4.00e-01,3.20e-03, 
1.95600e-02,8.00e-01,-6.40e-03, 
1.96000e-02,4.00e-01,-7.20e-03, 
1.96400e-02,8.00e-01,8.00e-04, 
1.96800e-02,8.00e-01,8.00e-04, 
1.97200e-02,0.00e+00,-6.40e-03, 
1.97600e-02,0.00e+00,-8.00e-03, 
1.98000e-02,4.00e-01,2.40e-03, 
1.98400e-02,0.00e+00,-5.60e-03, 
1.98800e-02,4.00e-01,0.00e+00, 
1.99200e-02,4.00e-01,-5.60e-03, 
1.99600e-02,0.00e+00,1.60e-03, 
2.00000e-02,4.00e-01,8.00e-04, 
2.00400e-02,0.00e+00,-6.40e-03, 
2.00800e-02,4.00e-01,-1.04e-02, 
2.01200e-02,0.00e+00,1.60e-03, 
2.01600e-02,0.00e+00,8.00e-04, 
2.02000e-02,-4.00e-01,-5.60e-03, 
2.02400e-02,0.00e+00,8.00e-04, 
2.02800e-02,-4.00e-01,-5.60e-03, 
2.03200e-02,0.00e+00,-5.60e-03, 
2.03600e-02,-4.00e-01,2.40e-03, 
2.04000e-02,0.00e+00,8.00e-04, 
2.04400e-02,-4.00e-01,-8.80e-03, 
2.04800e-02,-4.00e-01,-5.60e-03, 
2.05200e-02,0.00e+00,0.00e+00, 
2.05600e-02,-8.00e-01,2.40e-03, 
2.06000e-02,0.00e+00,-5.60e-03, 
2.06400e-02,0.00e+00,-6.40e-03, 
2.06800e-02,-8.00e-01,1.60e-03, 
2.07200e-02,-8.00e-01,-7.20e-03, 
2.07600e-02,-4.00e-01,2.40e-03, 
2.08000e-02,-4.00e-01,-2.40e-03, 
2.08400e-02,-8.00e-01,-7.20e-03, 
2.08800e-02,-8.00e-01,4.00e-03, 
2.09200e-02,-4.00e-01,-7.20e-03, 
2.09600e-02,-8.00e-01,8.00e-04, 
2.10000e-02,-4.00e-01,-8.00e-03, 
2.10400e-02,-8.00e-01,0.00e+00, 
2.10800e-02,-4.00e-01,-6.40e-03, 
2.11200e-02,-8.00e-01,-2.40e-03, 
2.11600e-02,-4.00e-01,-5.60e-03, 
2.12000e-02,-8.00e-01,-2.40e-03, 
2.12400e-02,0.00e+00,-5.60e-03, 
2.12800e-02,-8.00e-01,-8.80e-03, 
2.13200e-02,-4.00e-01,8.00e-04, 
2.13600e-02,-4.00e-01,-5.60e-03, 
2.14000e-02,-8.00e-01,8.00e-04, 
2.14400e-02,-4.00e-01,0.00e+00, 
2.14800e-02,-8.00e-01,-8.00e-03, 
2.15200e-02,-8.00e-01,-6.40e-03, 
2.15600e-02,-4.00e-01,2.40e-03, 
2.16000e-02,-4.00e-01,8.00e-04, 
2.16400e-02,-8.00e-01,-9.60e-03, 
2.16800e-02,0.00e+00,1.60e-03, 
2.17200e-02,-8.00e-01,-5.60e-03, 
2.17600e-02,-8.00e-01,-5.60e-03, 
2.18000e-02,0.00e+00,8.00e-04, 
2.18400e-02,-4.00e-01,-6.40e-03, 
2.18800e-02,0.00e+00,-1.60e-03, 
2.19200e-02,-4.00e-01,-5.60e-03, 
2.19600e-02,0.00e+00,8.00e-04, 
2.20000e-02,0.00e+00,1.60e-03, 
2.20400e-02,-4.00e-01,-7.20e-03, 
2.20800e-02,4.00e-01,0.00e+00, 
2.21200e-02,-4.00e-01,-8.00e-03, 
2.21600e-02,0.00e+00,8.00e-04, 
2.22000e-02,0.00e+00,-5.60e-03, 
2.22400e-02,0.00e+00,-8.00e-04, 
2.22800e-02,-4.00e-01,-7.20e-03, 
2.23200e-02,0.00e+00,-8.00e-03, 
2.23600e-02,0.00e+00,2.40e-03, 
2.24000e-02,4.00e-01,1.60e-03, 
2.24400e-02,0.00e+00,-8.80e-03, 
2.24800e-02,0.00e+00,4.00e-03, 
2.25200e-02,4.00e-01,-4.80e-03, 
2.25600e-02,4.00e-01,-8.80e-03, 
2.26000e-02,0.00e+00,-1.60e-03, 
2.26400e-02,0.00e+00,8.00e-04, 
2.26800e-02,4.00e-01,-7.20e-03, 
2.27200e-02,4.00e-01,8.00e-04, 
2.27600e-02,0.00e+00,-6.40e-03, 
2.28000e-02,0.00e+00,-7.20e-03, 
2.28400e-02,8.00e-01,0.00e+00, 
2.28800e-02,4.00e-01,1.60e-03, 
2.29200e-02,0.00e+00,-7.20e-03, 
2.29600e-02,4.00e-01,8.00e-04, 
2.30000e-02,0.00e+00,-4.00e-03, 
